scan_key,scan_run_uuid,scan_source,scan_target_spec,scan_date
1,SCAN-C75672FD,Local Nmap/OpenVAS Engine,192.168.1.0/24,2026-08-20
2,SCAN-43532F7E,Local Nmap/OpenVAS Engine, 172.23.29.95,2026-08-20
3,SCAN-4D62E955,Local Nmap/OpenVAS Engine, 172.23.29.95,2026-08-20
4,SCAN-1C7F4405,Local Nmap/OpenVAS Engine, 172.23.29.95,2026-08-20
5,SCAN-4A0C31F5,Local Nmap/OpenVAS Engine, 172.23.29.95,2026-08-20
6,SCAN-9F259808,Local Nmap/OpenVAS Engine, 172.23.29.95,2026-08-20
7,SCAN-8D4E7B43,Local Nmap/OpenVAS Engine, 172.23.29.95,2026-08-20
8,SCAN-C3845A27,Local Nmap/OpenVAS Engine, 172.23.29.95,2026-08-20
9,SCAN-9C3820EB,Local Nmap/OpenVAS Engine, 172.23.29.95,2026-08-20
10,SCAN-FB21195F,Local Nmap/OpenVAS Engine, 172.23.29.95,2026-08-20
11,SCAN-888F6538,Local Nmap/OpenVAS Engine, 172.23.29.95,2026-08-20
12,SCAN-A619C1F0,Local Nmap/OpenVAS Engine, 172.23.29.95,2026-08-20
13,SCAN-3EE5060C,Local Nmap/OpenVAS Engine, 172.23.29.95,2026-08-20
14,SCAN-71272673,Local Nmap/OpenVAS Engine, 172.23.29.95,2026-08-20
15,SCAN-D910702E,Local Nmap/OpenVAS Engine, 172.23.29.95,2026-08-20
16,SCAN-88980E14,Local Nmap/OpenVAS Engine, 172.23.29.95,2026-08-20
17,SCAN-468B4C61,Local Nmap/OpenVAS Engine, 172.23.29.95,2026-08-20
18,SCAN-7530793F,Local Nmap/OpenVAS Engine, 172.23.29.95,2026-08-20
19,SCAN-97B904E7,Local Nmap/OpenVAS Engine, 172.23.29.95,2026-08-20
20,SCAN-CC19AF2D,Local Nmap/OpenVAS Engine,172.168.2.1,2026-08-20
21,SCAN-C15984C6,Live Nmap Engine,172.23.29.95,2026-08-20
22,SCAN-007250CA,Live Nmap Engine,172.23.29.97,2026-08-20
23,SCAN-323B426A,Live Nmap Engine,172.23.29.95,2026-08-20
24,SCAN-55B7EBB0,Live Nmap Engine,172.23.29.95,2026-08-20
25,SCAN-C0A67753,Live Nmap Engine,172.23.29.95,2026-08-20
26,SCAN-D1955DF7,Live Nmap Engine,10.86.231.131,2026-08-22
27,SCAN-AD34042D,Live Nmap Engine,172.23.29.95,2026-08-22
28,SCAN-ACAE0A59,Live Nmap Engine,172.23.29.95,2026-08-22
29,SCAN-34C1AD7F,Live Nmap Engine,172.23.29.95,2026-08-22
30,SCAN-55E72425,Live Nmap Engine,172.23.29.95,2026-08-22
31,SCAN-C87A99DA,Live Nmap Engine,172.23.29.95,2026-08-22
32,SCAN-37ECCE87,Live Nmap Engine,172.23.29.95,2026-08-22
33,SCAN-1BD0A891,Live Nmap Engine,172.23.29.98,2026-08-22
34,SCAN-DDFA5177,Live Nmap Engine,10.86.231.131,2026-08-22
35,SCAN-CD45B26D,Live Nmap Engine,172.23.29.95,2026-08-22
36,SCAN-88F14428,Live Nmap Engine,172.23.29.95,2026-08-22
37,SCAN-E16BE136,Live Nmap Engine,172.23.29.95,2026-08-22
38,SCAN-0E30BB3F,Live Nmap Engine,172.23.29.95,2026-09-03
